"","map_version","biome","ME_mean","ME_sd","MAE_mean","MAE_sd","MSE_mean","MSE_sd","RMSE_mean","RMSE_sd","NSE_mean","NSE_sd","Rsquared_mean","Rsquared_sd"
"26","v0-0-3","Mata Atlântica",114.684574,6.09873305181469,2013.855762,4.3308292785278,21152703.868926,169324.586974145,4599.170405,18.4087766661151,0.504298,0.00396728999431475,0.306467,0.00201910346141023
"27","v0-0-3","Pampa",590.630296,33.4778274251551,2975.232451,27.1807935513128,57675397.31665,710868.074505579,7594.289441,46.7655124969722,-0.184947,0.0146028463739855,0.011948,0.00341294268597903
"28","v0-0-3","Pantanal",438.014056,22.0310736429543,1828.648157,15.9986439226356,7286806.305085,86017.4113358296,2699.361889,15.9442057180904,0.228692,0.00910832319997218,0.47798,0.0120436244083286
"29","v0-0-3","Brasil",93.6795708,4.46877303836857,1667.0763353,4.24348983408189,13737148.3151117,278907.395944621,3626.3122935,40.602638662034,0.3883458,0.0163291768477548,0.3660021,0.00123534830895762
"30","v0-1-3","Amazônia",81.014764,3.99116219841345,1355.151477,3.1465118013013,4740200.13545,24945.9538490221,2177.192601,5.73031361574981,0.298803,0.00368626867817266,0.311737,0.002214947157178
"31","v0-1-3","Caatinga",127.214956,9.19738248191574,1213.790736,7.2924519992744,4977188.078155,220166.722081627,2230.419264,49.42068479685,0.467167,0.0235724417723559,0.322339,0.00471770563565029
"32","v0-1-3","Cerrado",-135.140043,12.3410238098385,2037.15127,10.1550809675092,28660444.527906,298450.506908043,5353.473182,27.8780049380572,0.193618,0.00839687748601535,0.332654,0.00442553243957576
"33","v0-1-3","Mata Atlântica",85.943337,10.7687458673087,2025.24457,7.36742455247861,21419665.975112,253664.763255826,4628.058131,27.412200448789,0.498041,0.00594668390743526,0.301354,0.00287530130173476
"34","v0-1-3","Pampa",455.532761,53.2181770924162,2867.556371,44.1174323310332,54096796.427249,889896.146914869,7354.80611,60.4985625652036,-0.111425,0.0182793606357697,0.010994,0.00529623117381262
"35","v0-1-3","Pantanal",451.23555,31.1263337206325,1849.913875,25.0123218146228,7340497.942822,134436.244353757,2709.222981,24.797926025802,0.223009,0.0142319820166136,0.449202,0.0181112609648631
"36","v0-1-3","Brasil",43.8284548,4.94032421113455,1059.5806931,4.94796727068493,6299122.4034027,349624.092798214,2446.7554012,63.5220131588126,0.7230515,0.0143750066051807,0.7340168,0.00254974662238895
"37","v0-1-4","Amazônia",85.053,4.06874724452109,1359.67483,2.79841863838429,4753954.234204,24355.4074624165,2180.349372,5.58401494614798,0.295994,0.00360837465859183,0.304763,0.00222872228649131
"38","v0-1-4","Caatinga",143.798189,10.0850055666305,1220.708165,7.1098269971902,5546639.216653,246675.921708368,2354.556082,52.2701933524692,0.490943,0.0226405654308876,0.294077,0.00533919857414401
"39","v0-1-4","Cerrado",-138.827462,14.4865968081037,2042.010986,10.0974552719332,28896382.21465,254660.073716339,5375.483804,23.7015542211468,0.19377,0.0071030154359137,0.339368,0.0053175311351921
"40","v0-1-4","Mata Atlântica",104.604836,11.8647198518691,2041.264197,8.01386024327091,21515384.797994,267986.751459369,4638.378639,28.9274305922192,0.505493,0.00615390579759364,0.29968,0.00308256747245251
"41","v0-1-4","Pampa",485.201953,58.1380208002612,2895.322658,43.0619517575449,55531778.245727,1042054.24060949,7451.640294,69.8857723407577,-0.130856,0.0212216028678992,0.01849,0.0065082930779029
"42","v0-1-4","Pantanal",463.530575,37.5189210672721,1847.774663,27.6620638190286,7215459.756828,129922.162638576,2686.053362,24.1435359943037,0.236238,0.0137522213449025,0.46122,0.0199167002662326
"43","v0-1-4","Brasil",47.4572967,5.63881105130732,1070.465942,5.48730836789806,6443732.0499438,413753.734145616,2476.6724171,75.2161697899054,0.7234213,0.0174646949878949,0.7316088,0.00292559422609452
"44","v0-1-5","Amazônia",89.868238,3.97499206768232,1371.299101,3.18546370439519,4815147.467887,28810.2737236847,2194.334711,6.56308403019904,0.286931,0.00426751163508145,0.297647,0.00210033450919254
"45","v0-1-5","Caatinga",174.3614,10.255007235384,1248.920746,9.76902041752728,5859786.05705,287186.671187143,2419.978486,59.3753932326338,0.462206,0.0263537083431221,0.281036,0.00501179457365172
"46","v0-1-5","Cerrado",-157.072197,12.8471245078301,2043.082366,10.4887088542747,28880974.198136,259421.393757356,5374.04855,24.1290687696521,0.194198,0.00723650928740278,0.337514,0.00567003500603806
"47","v0-1-5","Mata Atlântica",112.225116,12.7811623097441,2057.515034,7.40236270361038,21815566.610141,274087.645193047,4670.622483,29.3395722347996,0.498595,0.00629800954607281,0.293403,0.00285049898165995
"48","v0-1-5","Pampa",489.38193,53.1668433529894,2909.377996,47.6664714995939,55334245.446494,970474.695706914,7438.416592,65.1657614469543,-0.126833,0.0197640376145231,0.020456,0.0086639893300437
"49","v0-1-5","Pantanal",480.466682,41.6598099874202,1852.072123,30.0598252536533,7193702.530913,141300.752491998,2681.979476,26.3740342295914,0.23855,0.0149548444905781,0.45568,0.0207786895494865
"50","v0-1-5","Brasil",50.6520224,5.95318037632278,1073.6910656,6.34340269030608,6427113.7096969,427426.991826906,2474.4134639,77.2539126442904,0.7241139,0.0178781706459712,0.7304172,0.00297457443862296
"51","v0-1-6","Amazônia",92.396272,4.27147463584447,1371.388241,3.11271249062808,4813262.127278,28586.9807695739,2193.90523,6.5122789180722,0.287869,0.00422507414315436,0.301186,0.00220847861157354
"52","v0-1-6","Caatinga",147.787825,8.97836243012847,1231.451051,7.08737479261603,5172356.100568,214012.866867016,2273.80083,46.9890578432432,0.446269,0.0229154118444334,0.310657,0.00495213972730858
"53","v0-1-6","Cerrado",-160.700618,14.5520526442938,2032.71686,11.5958877229574,28651363.72744,281380.067529501,5352.63293,26.2938319644522,0.193871,0.00791563208550848,0.337096,0.00561241265032925
"54","v0-1-6","Mata Atlântica",105.386769,10.1595717297064,2037.894293,7.171722472156,21265918.511441,258120.143867861,4611.414419,27.988797687075,0.501508,0.00604901995568228,0.29507,0.00306467326516583
"55","v0-1-6","Pampa",474.288024,53.3594666169318,2896.451322,38.7472608956122,54831988.957868,924172.96752637,7404.601515,62.4852361192115,-0.126531,0.0189876658264083,0.015264,0.00590486052144992
"56","v0-1-6","Pantanal",446.338912,36.4220610288122,1828.637,24.1641284288313,7138991.936713,136665.001017865,2671.768238,25.552411425435,0.244338,0.014465045154203,0.466229,0.0187546589228685
"57","v0-1-6","Brasil",48.71033,4.76359134733385,1061.5131017,4.72101805873961,6208481.7409294,335495.908872375,2431.6164749,61.2600846959494,0.7252877,0.0145600975309615,0.7341843,0.00260556833987085
"58","C1_v1_0_0","Brasil",454.7844448,71.431221198872,2087.8522137,58.5644133970243,18634244.7627245,1115549.64597848,4056.8211098,129.631379462304,0.0423107,0.052873253100641,0.1863181,0.0210765299453054
"59","vB-0-1-3","Brasil",33.7552792,4.50593931223164,956.9732439,4.45926304903701,5157829.2295572,270935.087071864,2213.3235503,54.200747500168,0.7711597,0.0117335899984841,0.7701276,0.00238415015458255
