system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,antropico,bdod,black_soil_prob,cagb,campoAlagado-areaPantanosa,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,evi_mean,formacaoCampestre,formacaoFlorestal,formacaoSavanica,latitude,lavouras,longitude,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mapbiomas_clay_v003,mapbiomas_sand_v003,mapbiomas_silt_v003,mapbiomas_v001_1984,mosaicoDeUsos,natural,ndvi_mean,nitrogen,northness,outrasFormacoesFlorestais,oxides,pastagem,pcurv,phh2o,restingas,roughness,savi_mean,silvicultura,slope,soc,spi,year,.geo
00000000000000000062,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,2,1,0,0,6,0,0,3,6,1986,21,124,8,96.5,0,22.68,2.98,155,66,68,3.63,-18,-17,125.79,ctb0832-221,17,51,410,2,0,0,0,16466,0,6883,0,1,0,0,0,1,0,0,0,35.513139890370134,49.18930605703224,15.297554052597611,47,0,0,4,15,-2,0,202,21,-3,58,0,43,2,0,17,184,0,1986,"{""type"":""Point"",""coordinates"":[-41.68340018334676,-21.466727827233832]}"
00000000000000000063,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,2,1,0,0,4,0,0,9,5,1986,21,131,8,96.5,0,22.68,2.98,145,60,61,3.63,-53,-23,125.79,ctb0832-223,-4,100,2775,0,0,0,0,16233,21,6683,0,1,0,0,0,1,0,0,0,35.70515738595259,51.593238666158456,12.701603947888959,43,0,0,-1,15,-8,0,180,0,0,59,0,26,0,0,9,165,0,1986,"{""type"":""Point"",""coordinates"":[-41.48343625570603,-21.233342937197534]}"
000000000000000000c3,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,3,1,0,0,3,0,0,4,8,1986,21,122,9,96.5,0,22.68,2.98,121,53,43,3.63,13,-9,125.79,ctb0832-181,14,120,3461,1,0,0,0,16183,0,7066,0,1,0,0,0,1,0,0,0,32.956991907787376,45.669768340350004,21.373239751862616,42,0,0,0,15,2,0,156,21,-2,56,0,40,0,0,15,162,0,1986,"{""type"":""Point"",""coordinates"":[-41.86665585934022,-21.183218182255743]}"
000000000000000000c4,0,1,0,0,0,0,0,34,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,1986,21,123,12,96.5,0,22.68,2.98,111,67,50,3.63,-1,-21,125.79,ctb0832-182,-17,322,2793,0,0,0,0,16116,0,7000,0,1,0,0,0,1,0,0,0,37.04303838983302,49.164109483303534,13.79285212686343,43,0,0,0,16,19,0,172,21,-10,54,0,74,0,0,26,195,0,1986,"{""type"":""Point"",""coordinates"":[-41.80009039881439,-21.116652721729906]}"
000000000000000000c5,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,6,1986,21,124,9,96.5,0,22.68,2.98,105,75,54,3.63,22,-22,125.79,ctb0832-188,-1,195,3155,0,0,0,0,16116,0,7116,0,1,0,0,0,1,0,0,0,32.10690624599701,49.64113483469177,18.251958919311207,39,0,0,0,13,9,0,172,21,-1,56,0,36,0,0,11,162,0,1986,"{""type"":""Point"",""coordinates"":[-41.91678507338306,-21.116652721729906]}"
000000000000000000c6,0,1,0,0,0,0,0,30,0,1,0,0,0,0,0,0,4,1,0,0,3,0,0,5,8,1986,21,127,10,96.5,0,22.68,2.98,93,64,57,3.63,-22,-1,125.79,ctb0832-189,0,123,1017,-1,0,0,0,16199,0,7149,0,1,0,0,0,1,0,0,0,33.96829577114198,39.9254329960749,26.10627123278312,47,0,0,-2,15,0,0,174,21,0,55,0,2,-1,0,0,168,5,1986,"{""type"":""Point"",""coordinates"":[-41.94992957151332,-21.199926433903006]}"
000000000000000000c7,0,1,0,0,0,0,0,23,0,1,0,0,0,0,0,0,3,1,0,0,2,0,0,4,3,1986,21,122,17,96.5,0,22.68,2.98,142,73,54,3.63,-7,13,125.79,ctb0832-212,-4,113,4680,0,0,0,0,16233,0,6908,0,1,0,0,0,1,0,0,0,23.566768948488942,58.884407434833875,17.54882361667719,35,0,0,0,15,0,0,167,21,-2,58,0,9,0,0,4,188,0,1986,"{""type"":""Point"",""coordinates"":[-41.70819278520391,-21.23334293719753]}"
000000000000000000c8,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,0,2,1,0,0,3,0,0,4,6,1986,21,124,10,96.5,0,22.68,2.98,147,56,51,3.63,12,-20,125.79,ctb0832-213,13,64,5008,2,0,0,0,16316,0,6949,0,1,0,0,0,1,0,0,0,34.033673157422726,50.90415145310519,15.062175389472085,45,0,0,3,15,6,0,170,21,-8,60,0,39,2,0,14,195,0,1986,"{""type"":""Point"",""coordinates"":[-41.749965643872606,-21.31661664937063]}"
000000000000000000c9,0,1,0,0,0,0,0,20,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,3,9,1986,21,122,9,96.5,0,22.68,2.98,149,96,51,3.63,48,73,125.79,ctb0832-219,0,25,2936,0,0,0,0,16450,0,6866,0,1,0,0,0,1,0,0,0,34.485368846509786,43.99739313274023,21.517238020749986,46,0,0,0,16,1,0,169,21,0,59,0,3,-1,0,1,256,162,1986,"{""type"":""Point"",""coordinates"":[-41.666691931699496,-21.450015116485517]}"
000000000000000000ca,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,0,2,1,0,0,5,0,0,5,7,1986,21,125,7,96.5,0,22.68,2.98,131,81,58,3.63,19,10,125.79,ctb0832-222,3,44,2946,0,0,0,0,16433,0,6900,0,1,0,0,0,1,0,0,0,25.968885445350097,58.535744569914925,15.49536998473498,36,0,0,0,15,1,0,171,21,-2,58,0,11,0,0,4,172,0,1986,"{""type"":""Point"",""coordinates"":[-41.700108434994014,-21.433306864838254]}"
