system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,antropico,bdod,black_soil_prob,cagb,campoAlagado-areaPantanosa,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,evi_mean,formacaoCampestre,formacaoFlorestal,formacaoSavanica,lavouras,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mapbiomas_clay_v003,mapbiomas_sand_v003,mapbiomas_silt_v003,mapbiomas_v001_1984,mosaicoDeUsos,natural,ndvi_mean,nitrogen,northness,outrasFormacoesFlorestais,oxides,pastagem,pcurv,phh2o,restingas,roughness,savi_mean,silvicultura,slope,soc,spi,year,.geo
0_000000000000000024f6_0,0,1,0,0,0,0,0,28,0,1,0,0,0,0,0,1,6,1,0,0,1,0,0,4,3,1985,20,121,13,96.5,0,22.68,2.98,133,88,51,3.63,33,49,125.79,ctb0832-116,0,152,2721,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,30.423071594122426,48.53982843118232,21.037099974695263,43,0,0,-2,15,0,0,169,20,-5,55,0,12,-2,0,2,174,6,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.03320520652913,-21.283200121709143]}"
0_000000000000000024f7_0,0,1,0,0,0,0,0,33,0,1,0,0,0,0,0,1,4,1,0,0,1,0,0,6,0,1985,20,116,13,96.5,0,22.68,2.98,129,102,44,3.63,-1,-18,125.79,ctb0832-117,15,351,4634,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33.993859992473645,48.36113866210208,17.645001345424287,38,0,0,0,19,-20,0,172,20,-4,54,0,72,0,0,26,240,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.20002235479013,-21.350034778847636]}"
0_000000000000000024f9_0,0,1,0,0,0,0,0,30,0,1,0,0,0,0,0,0,5,1,0,0,1,0,0,3,3,1985,20,120,20,96.5,0,22.68,2.98,102,102,47,3.63,51,40,125.79,ctb0832-119,1,263,3380,1,0,0,0,0,0,1,0,0,0,1,0,0,0,34.0012105610882,46.02628328690582,19.972506152005966,46,0,0,2,17,1,0,163,20,-2,54,0,7,1,0,2,192,2,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.049913870813754,-21.366743443132258]}"
0_000000000000000024fa_0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,7,2,1985,20,127,14,96.5,0,22.68,2.98,146,99,47,3.63,20,-21,125.79,ctb0832-120,23,87,2052,2,0,0,0,0,0,1,0,0,0,1,0,0,0,33.845596189644745,47.10337257190489,19.051031238450364,45,20,0,4,16,20,0,162,0,-6,58,0,91,2,0,33,206,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.76667506173087,-21.649982252215146]}"
0_000000000000000024fb_0,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,0,5,1,0,0,2,0,0,6,2,1985,20,125,10,96.5,0,22.68,2.98,132,78,48,3.63,28,5,125.79,ctb0832-121,-6,58,4513,0,0,0,0,0,0,1,0,0,0,1,0,0,0,33.76642299607297,51.71838345410505,14.515193549821978,44,0,0,1,17,5,0,177,20,-8,59,0,33,0,0,10,181,1,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.74996639744625,-21.68339958078439]}"
0_00000000000000002501_0,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,7,3,1985,20,124,14,96.5,0,22.68,2.98,123,100,57,3.63,0,-33,125.79,ctb0832-130,-11,187,2285,4,0,0,0,0,0,1,0,0,0,1,0,0,0,34.158547396051105,52.69896919283038,13.142483411118524,43,0,0,6,16,17,0,187,20,14,57,0,60,4,0,22,197,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.550001415201244,-21.549999761092643]}"
0_00000000000000002503_0,0,1,0,0,0,0,0,16,0,1,0,0,0,0,0,0,6,1,0,0,4,0,0,2,5,1985,20,127,12,96.5,0,22.68,2.98,118,51,56,3.63,7,-9,125.79,ctb0832-132,10,36,2104,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38.76203646823216,47.27598820517244,13.961975326595386,44,0,0,1,15,-2,0,196,20,-12,57,0,38,0,0,12,175,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.6165665777545,-21.616564923645896]}"
0_00000000000000002505_0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,2,6,1,0,0,3,0,0,4,11,1985,0,116,11,96.5,0,22.68,2.98,164,67,69,3.63,-4,-9,125.79,ctb0832-134,2,11,7074,0,0,0,0,0,0,1,0,0,0,1,0,0,0,35.13102099405376,43.03760640872236,21.831372597223876,0,0,0,-10,16,1,0,169,0,0,58,0,6,-2,0,2,260,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.550001415201244,-21.616564923645896]}"
0_0000000000000000250c_0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,11,3,1985,20,131,6,96.5,0,22.68,2.98,145,57,66,3.63,-15,-28,125.79,ctb0832-141,-11,75,2074,1,0,0,0,20,0,1,0,0,0,1,0,0,0,40.11163904736489,47.41500208793689,12.473358864698215,42,0,0,2,14,-5,0,189,0,6,58,0,37,1,0,14,170,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.550001415201244,-21.7165474147684]}"
0_0000000000000000250d_0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,3,1,0,0,3,0,0,7,3,1985,20,130,7,96.5,0,22.68,2.98,139,51,61,3.63,-26,-20,125.79,ctb0832-142,-8,77,1241,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38.72482854821208,49.15126104366661,12.123910408121324,42,20,0,-2,14,0,0,185,0,4,59,0,21,-1,0,8,165,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.600127408055116,-21.73325607905302]}"
0_00000000000000002510_0,0,1,0,0,0,0,0,31,0,1,0,0,0,0,0,0,5,1,0,0,3,0,0,2,3,1985,20,122,13,96.5,0,22.68,2.98,135,80,45,3.63,30,-18,125.79,ctb0832-146,21,218,1680,0,0,0,0,0,1,0,0,1,0,0,0,1,0,32.96166354692323,52.14356300070349,14.894773452373286,44,0,0,0,17,18,0,188,20,3,55,0,95,0,0,31,182,1,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.9833487082605,-21.883364563029396]}"
0_00000000000000002514_0,0,0,0,0,0,0,0,38,0,1,0,0,0,0,0,0,5,1,0,0,2,0,0,3,0,1985,20,118,20,96.5,0,22.68,2.98,121,86,32,3.63,-49,-38,125.79,ctb0832-151,31,392,4259,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.44691012498874,47.24237033038203,18.310719544629244,43,20,0,0,17,-18,0,144,0,18,54,0,121,0,0,39,203,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.23343968335938,-21.900073227314017]}"
0_00000000000000002560_0,0,1,0,0,0,0,0,20,0,1,0,0,0,0,0,1,10,1,0,0,3,0,0,5,6,1985,20,123,13,96.5,0,22.68,2.98,105,106,54,3.63,-7,-12,125.79,ctb0832-99,7,128,2105,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,28.25745835642797,52.50590003364618,19.23664160992584,43,0,0,-2,17,-3,0,160,20,-1,54,0,23,-1,0,8,208,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.26658751734338,-21.566708425377264]}"
0_00000000000000002563_0,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,1,1,1,0,0,3,0,0,6,10,1985,20,122,11,96.5,0,22.68,2.98,112,69,57,3.63,-19,-15,125.79,ctb0832-E-Rio-106,-6,123,3664,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38.15903199055612,45.52385544781777,16.31711256162611,42,0,0,0,14,-9,0,173,20,-7,55,0,33,0,0,11,173,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.24987885305876,-21.70010824506901]}"
0_00000000000000002567_0,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,3,1,0,0,5,0,0,4,4,1985,20,119,13,96.5,0,22.68,2.98,89,78,45,3.63,6,-30,125.79,ctb0832-E-Rio-110,1,66,3824,1,0,0,0,0,0,1,0,0,0,1,0,0,0,29.98647162929755,43.06616099195624,26.94736737874621,49,0,0,0,14,20,0,163,20,-5,56,0,54,1,0,21,281,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.116748527952254,-21.70010824506901]}"
0_00000000000000002578_0,0,1,0,0,0,0,0,40,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,3,2,1985,20,123,20,75.1,0,17.65,2.98,112,49,51,3.76,22,-22,99.48,ctb0832-E-Rio-41,10,497,4600,-6,0,0,0,0,1,0,0,0,0,0,0,0,0,41.49748276499374,45.67680067691647,12.82571655808978,50,0,0,-12,18,5,0,184,20,-2,51,0,32,-9,0,12,263,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.64990322335903,-22.383277018641905]}"
0_0000000000000000255f_0,0,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,1,1985,0,114,17,75.1,0,17.65,2.98,117,110,48,3.76,36,13,99.48,ctb0832-96,-7,515,2886,0,0,20,0,0,1,0,0,0,0,0,0,0,0,36.38566418611413,47.194438401686384,16.41989741219948,46,0,20,0,20,13,0,160,0,-9,52,0,53,0,0,18,241,6,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.65007831213401,-22.049912216705152]}"
0_00000000000000000e89_0,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,3,1,0,0,2,0,0,3,5,1985,20,127,11,96.5,0,22.68,2.98,91,88,62,3.63,-38,-21,125.79,ctb0064-14248,0,134,2130,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30.88053373609025,53.66715613457309,15.452310129336661,43,0,0,0,14,-9,0,182,20,2,55,0,29,0,0,10,166,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.08279221021253,-21.726518714422127]}"
0_000000000000000024f4_0,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,1,2,1,0,0,2,0,0,5,3,1985,20,123,10,96.5,0,22.68,2.98,76,62,53,3.63,-14,-24,125.79,ctb0832-114,-21,154,4666,0,0,0,0,0,0,1,0,0,0,1,0,0,0,31.225675555758485,54.00837045707741,14.765953987164101,41,0,0,0,14,-1,0,168,20,-4,55,0,53,0,0,21,158,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.116748527952254,-21.73325607905302]}"
